Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
1213,174,H,Philadelphia,0,17,0,7,24,46,42,300,21
1213,175,V,Washingtom,0,13,10,0,23,43.5,43.5,125,21
1213,176,H,SanFrancisco,7,0,0,8,15,3.5,3,-145,3
1213,177,V,Pittsburgh,0,7,0,8,15,47.5,49,110,23.5
1213,178,H,Buffalo,0,9,14,3,26,pk,2,-130,0.5
1214,179,V,Baltimore,7,14,13,13,47,2.5,3,-175,23.5
1214,180,H,Cleveland,7,7,6,22,42,48,45.5,155,0.5
1217,301,V,LAChargers,7,10,7,0,30,55,52.5,155,26.5
1217,302,H,LasVegas,3,7,7,7,27,3.5,3,-175,0.5
1219,343,V,Carolina,3,0,7,6,16,51,53,375,24
1219,344,H,GreenBay,7,14,0,3,24,9.5,10.5,-450,4
1219,345,V,Buffalo,7,14,17,10,48,5,6,-250,2.5
1219,346,H,Denver,0,13,0,6,19,48,48,210,24
1220,341,V,Houston,0,10,3,7,20,52.5,52.5,310,24.5
1220,342,H,Indianapolis,14,0,3,10,27,6.5,9,-370,3.5
1220,347,V,Detroit,7,8,3,7,25,51.5,54,320,27.5
1220,348,H,Tennessee,14,10,0,22,46,8.5,10,-380,1.5
1220,349,V,NYJets,7,6,10,0,23,44.5,44.5,1200,22.5
1220,350,H,LARams,0,3,7,10,20,13.5,17,-3000,12
1220,351,V,TampaBay,0,0,21,10,31,1.5,7,-270,7
1220,352,H,Atlanta,7,10,7,3,27,51,49.5,230,24.5
1220,353,V,NewEngland,0,6,3,3,12,44,pk,-125,19.5
1220,354,H,Miami,0,0,7,15,22,3,40,105,1.5
1220,355,V,Seattle,3,10,7,0,20,3,7,-265,3
1220,356,H,Washington,0,3,0,12,15,43.5,44,225,20.5
1220,357,V,Chicago,10,10,7,6,33,47,47,130,24
1220,358,H,Minnesota,7,3,10,7,27,6.5,2.5,-150,4.5
1220,359,V,Jacksonville,0,0,7,7,14,46,49,650,21
1220,360,H,Baltimore,9,17,7,7,40,11,13.5,-1000,3.5
1220,361,V,Cleveland,0,13,0,7,20,3,7,-280,0.5
1220,362,H,NYGiants,3,0,0,3,6,46,44.5,240,23
1220,363,V,Philadelphia,0,20,6,0,26,47.5,49.5,225,27
1220,364,H,Arizona,16,10,0,7,33,6.5,7,-265,0.5
1220,365,V,KansasCity,7,7,7,11,32,3,3,-140,26
1220,366,H,NewOrleans,0,9,6,14,29,50,53.5,120,0.5
1220,367,V,SanFrancisco,7,7,10,9,33,2.5,3.5,-220,4.5
1220,368,H,Dallas,14,3,7,17,41,45.5,45.5,190,22.5
1221,369,V,Pittsburgh,0,0,10,7,17,11.5,16,-1200,10
1221,370,H,Cincinnati,3,14,0,10,27,41.5,40.5,750,21.5
1225,451,V,Minnesota,7,7,13,6,33,52.5,49.5,250,0.5
1225,452,H,NewOrleans,14,10,7,21,52,6.5,7,-300,26.5
1226,457,V,TampaBay,13,21,13,0,47,7.5,13.5,-700,5
1226,458,H,Detroit,0,0,7,0,7,54,55,500,21.5
1226,459,V,SanFrancisco,7,0,7,6,20,50.5,49,225,23.5
1226,460,H,Arizona,3,3,0,6,12,3,7,-265,3
1226,461,V,Miami,3,3,7,13,26,47,pk,-140,3
1226,462,H,LasVegas,7,6,3,9,25,1.5,50.5,120,24
1227,453,V,Denver,0,0,3,13,16,50,47.5,110,3
1227,454,H,LAChargers,3,10,0,6,19,2.5,2,-130,23
1227,455,V,Cleveland,3,0,7,6,16,10.5,7,-280,4.5
1227,456,H,NYJets,7,6,7,3,23,45,45,240,22.5
1227,463,V,Cincinnati,7,3,14,13,37,46.5,46,275,23.5
1227,464,H,Houston,3,7,14,7,31,8.5,9,-335,3.5
1227,465,V,Indianapolis,7,14,3,0,24,46,pk,-110,21.5
1227,466,H,Pittsburgh,0,7,7,14,28,3,42.5,-110,3.5
1227,467,V,Chicago,7,6,21,7,41,3.5,10,-450,4.5
1227,468,H,Jacksonville,3,7,0,7,17,47,47,375,23.5
1227,469,V,Carolina,6,14,0,0,20,45,pk,-120,20
1227,470,H,Washington,0,3,3,7,13,3,42,100,2.5
1227,471,V,NYGiants,0,3,3,7,13,45,43,375,20.5
1227,472,H,Baltimore,14,6,0,7,27,10,10.5,-450,3
1227,473,V,Atlanta,0,7,0,7,14,53.5,53.5,450,26.5
1227,474,H,KansasCity,0,7,0,10,17,12.5,12,-600,7
1227,475,V,LARams,3,3,0,3,9,47,47.5,105,23.5
1227,476,H,Seattle,0,6,7,7,20,1.5,1,-125,2
1227,477,V,Philadelphia,14,3,0,0,17,pk,3,-170,0.5
1227,478,H,Dallas,3,17,10,7,37,49.5,50.5,150,27
1227,479,V,Tennessee,0,7,7,0,14,56,52.5,150,3
1227,480,H,GreenBay,6,13,14,7,40,4.5,3,-170,26.5
1228,481,V,Buffalo,3,21,7,7,38,4.5,7.5,-350,3
1228,482,H,NewEngland,3,6,0,0,9,45,47,290,22.5
103,101,V,Washington,10,7,0,3,20,42,7,-300,3
103,102,H,Philadelphia,0,14,0,0,14,4,43.5,250,22
103,103,V,Jacksonville,0,7,7,0,14,49,47.5,800,21.5
103,104,H,Indianapolis,10,10,0,8,28,12.5,16,-1400,7
103,105,V,GreenBay,0,21,0,14,35,5,4.5,-210,1
103,106,H,Chicago,7,6,3,0,16,49,48,180,24
103,107,V,Dallas,3,6,7,3,19,47,pk,-125,3
103,108,H,NYGiants,6,14,0,3,23,3,43.5,105,22.5
103,109,V,Pittsburgh,0,6,3,13,22,41,44.5,375,21.5
103,110,H,Cleveland,7,3,7,7,24,4,11.5,-450,4.5
103,111,V,Tennessee,3,14,14,10,41,4.5,7.5,-340,2
103,112,H,Houston,3,6,19,10,38,56,55.5,280,26.5
103,113,V,NewOrleans,7,9,10,7,33,6,6,-270,2
103,114,H,Carolina,7,0,0,0,7,51,46.5,230,21.5
103,115,V,NYJets,0,7,7,0,14,43,41,150,20.5
103,116,H,NewEngland,7,0,7,14,28,9,3,-170,2
103,117,V,Minnesota,7,14,10,6,37,3.5,3,-170,27
103,118,H,Detroit,6,10,13,6,35,54.5,53.5,150,1.5
103,119,V,Atlanta,3,7,10,7,27,50,51,275,24
103,120,H,TampaBay,10,13,0,21,44,7,7.5,-335,0.5
103,121,V,Baltimore,10,7,21,0,38,13,14,-1000,5.5
103,122,H,Cincinnati,0,3,0,0,3,43.5,45.5,650,20.5
103,123,V,Miami,3,3,7,13,26,43.5,3,-165,6.5
103,124,H,Buffalo,0,28,7,21,56,5.5,42.5,145,21
103,125,V,LAChargers,7,17,7,7,38,45,7.5,-300,3
103,126,H,KansasCity,7,7,0,7,21,1.5,43,250,23
103,127,V,Seattle,3,3,0,20,26,6.5,7.5,-340,3.5
103,128,H,SanFrancisco,0,3,6,14,23,47.5,45,280,20.5
103,129,V,LasVegas,3,14,0,15,32,51,2.5,-150,25.5
103,130,H,Denver,10,0,6,15,31,2.5,50.5,130,2
103,131,V,Arizona,7,0,0,0,7,42.5,42,105,17.5
103,132,H,LARams,0,12,3,3,18,4,pk,-125,2.5
109,141,V,Indianapolis,3,7,0,14,24,51.5,50.5,290,26
109,142,H,Buffalo,7,7,3,10,27,7,7.5,-350,3
109,143,V,LARams,3,17,0,10,30,41.5,42,155,21
109,144,H,Seattle,0,10,3,7,20,4.5,3,-175,6
109,145,V,TampaBay,9,9,0,13,31,7,10.5,-480,2.5
109,146,H,Washington,0,7,9,7,23,46.5,44.5,390,23
110,147,V,Baltimore,0,10,7,3,20,4.5,3.5,-190,3
110,148,H,Tennessee,10,0,0,3,13,54.5,53.5,170,26.5
110,149,V,Chicago,0,3,0,6,9,48,48,500,22.5
110,150,H,NewOrleans,7,0,7,7,21,10.5,12.5,-700,5
110,151,V,Cleveland,28,7,0,13,48,47,47,200,24
110,152,H,Pittsburgh,0,10,13,14,37,3.5,5.5,-240,7
116,301,V,LARams,3,7,8,0,18,46.5,45,290,23.5
116,302,H,GreenBay,3,16,6,7,32,7,7.5,-350,2.5
116,303,V,Baltimore,0,3,0,0,3,50,50,115,23.5
116,304,H,Buffalo,3,0,14,0,17,pk,2.5,-135,2.5
117,305,V,Cleveland,3,0,7,7,17,54.5,56,340,27.5
117,306,H,KansasCity,6,13,3,0,22,pk,9,-410,0.5
117,307,V,TampaBay,0,13,7,10,30,49.5,53,130,24.5
117,308,H,NewOrleans,6,7,7,0,20,pk,2.5,-150,2.5
124,311,V,TampaBay,7,14,7,3,31,51,53,160,27.5
124,312,H,GreenBay,0,10,13,3,26,3,3,-180,6.5
124,313,V,Buffalo,9,3,3,9,24,53.5,54.5,140,0.5
124,314,H,KansasCity,0,21,10,7,38,4.5,3,-160,27.5
207,101,N,KansasCity,3,3,3,0,9,2.5,3.5,-150,7.5
207,102,N,TampaBay,7,14,10,0,31,56,55,140,28
